cos_charge_target__trigram_naturalness,cos_protenix_contact__charge_target,cos_protenix_contact__solubility_limit,cos_protenix_contact__trigram_naturalness,cos_solubility_limit__charge_target,cos_solubility_limit__trigram_naturalness,dir_charge_target,dir_protenix_contact,dir_solubility_limit,dir_trigram_naturalness,loss_charge_target,loss_protenix_contact,loss_solubility_limit,loss_trigram_naturalness,mean_oracle_descent,method,method_aux_slack,method_cone_denominator,method_id,method_max_aux_harms,method_min_primary_descent_ratio,method_terminal_anneal_final_temperature,oracle_harm_rate,projected_step_norm,seed,sequence_entropy,sequence_entropy_after,sequence_entropy_delta,step,step_norm,terminal_anneal_temperature,worst_oracle_directional_derivative
-0.04839100794683212,0.0345798405100285,0.0012336201035746998,-0.07823741210981242,0.0,0.18841828844608383,-0.0007167456205934286,-4.613803386688232,-0.045553624629974365,-0.01588844507932663,0.0009901541052386165,3.6356217861175537,0.11291849613189697,3.3392081260681152,-1.1689905505045317,naive_weighted,0.02,8,M3,1,0.0,1.0,0.0,0.964424192905426,0,2.7846856117248535,2.3960869312286377,-0.3885986804962158,0,0.964424192905426,1.0,-0.0007167456205934286
-0.0532531347902797,0.05686080544034845,-0.030716425391241507,0.056807772226669696,0.0,0.16445733631798054,-0.00026439549401402473,-1.2725313901901245,-0.005826613865792751,-0.06238333508372307,0.00040311634074896574,3.052640914916992,0.0698724165558815,3.3243484497070312,-0.3352514336584136,naive_weighted,0.02,8,M3,1,0.0,1.0,0.0,0.5478801131248474,0,2.3960869312286377,2.3626065254211426,-0.03348040580749512,1,0.5478801131248474,1.0,-0.00026439549401402473
-0.05776144020888963,0.0567774630293705,-0.10602722520216643,-0.06155750314088706,0.0,0.17266485956436942,3.123101487290114e-05,-0.6327595710754395,-0.009203337132930756,-0.037899330258369446,0.00018207385437563062,2.63222074508667,0.0641428530216217,3.2591450214385986,-0.1699577518629667,naive_weighted,0.02,8,M3,1,0.0,1.0,0.25,0.4014112651348114,0,2.3626065254211426,2.3453760147094727,-0.017230510711669922,2,0.4014112651348114,1.0,3.123101487290114e-05
-0.04839100794683212,0.0345798405100285,0.0012336201035746998,-0.07823741210981242,0.0,0.18841828844608383,-0.0006532290717586875,-4.656793117523193,-0.008862141519784927,0.04596640169620514,0.0009901541052386165,3.6356217861175537,0.11291849613189697,3.3392081260681152,-1.155085521604633,contact_preserving_soft_cone,0.08,10,M7c,1,0.6,1.0,0.25,0.9630458950996399,0,2.7846856117248535,2.3976221084594727,-0.38706350326538086,0,0.9630458950996399,1.0,0.04596640169620514
-0.044715628051543846,0.06165414783658107,0.12943515806595876,0.09411869761947307,0.0,0.16259919438888568,-0.001429421128705144,-2.8313522338867188,-0.05526859313249588,-0.10229574143886566,0.0004446625825949013,3.1201071739196777,0.10412811487913132,3.384721279144287,-0.7475864973966964,contact_preserving_soft_cone,0.08,10,M7c,1,0.6,1.0,0.0,0.7939953207969666,0,2.3976221084594727,2.2517921924591064,-0.1458299160003662,1,0.7939953207969666,1.0,-0.001429421128705144
0.06958270563362735,0.008023390278573078,-0.04525729452892888,0.033386389090316236,0.0,0.17203060231123746,-0.00021007060422562063,-0.738996684551239,-0.006321984808892012,-0.05797872692346573,0.00016400303866248578,2.7363803386688232,0.053753502666950226,3.2707698345184326,-0.2008768667219556,contact_preserving_soft_cone,0.08,10,M7c,1,0.6,1.0,0.0,0.4255070984363556,0,2.2517921924591064,2.2544591426849365,0.002666950225830078,2,0.4255070984363556,1.0,-0.00021007060422562063
-0.04839100794683212,0.0345798405100285,0.0012336201035746998,-0.07823741210981242,0.0,0.18841828844608383,-0.001134652178734541,-4.89285135269165,-0.00818546861410141,0.05053152143955231,0.0009901541052386165,3.6356217861175537,0.11291849613189697,3.3392081260681152,-1.2129099880112335,contact_preserving_entropy_annealed,0.08,10,M7d,1,0.6,0.5,0.25,0.9630458950996399,0,2.7846856117248535,2.3125007152557373,-0.4721848964691162,0,1.0415173768997192,0.8333333333333334,0.05053152143955231
-0.04532962016542541,0.0538211504162565,0.06732842149235051,0.1053166259910429,0.0,0.15548165560710323,-0.0010118745267391205,-3.119722366333008,-0.04598035663366318,-0.08424684405326843,0.00018056115368381143,3.048478603363037,0.1047939658164978,3.388728618621826,-0.8127403603866696,contact_preserving_entropy_annealed,0.08,10,M7d,1,0.6,0.5,0.0,0.8070236444473267,0,2.3125007152557373,1.9526357650756836,-0.3598649501800537,1,1.0132508277893066,0.6666666666666667,-0.0010118745267391205
0.05398845872475462,0.021003323010963297,0.12506627626699232,-0.033472490857990735,0.0,0.14099916617753785,0.0013423068448901176,-7.313586235046387,-0.018262522295117378,0.0003474429249763489,0.000586336012929678,3.305245876312256,0.06193830817937851,3.287932872772217,-1.8325397518929094,contact_preserving_entropy_annealed,0.08,10,M7d,1,0.6,0.5,0.5,1.1983774900436401,0,1.9526357650756836,1.3789156675338745,-0.5737200975418091,2,1.6779155731201172,0.5,0.0013423068448901176
-0.04839100794683212,0.0345798405100285,0.0012336201035746998,-0.07823741210981242,0.0,0.18841828844608383,-0.0014687849907204509,-5.032443046569824,-0.007744865491986275,0.05337332561612129,0.0009901541052386165,3.6356217861175537,0.11291849613189697,3.3392081260681152,-1.2470708428591024,contact_preserving_entropy_annealed,0.08,10,M7e,1,0.6,0.25,0.25,0.9630458950996399,0,2.7846856117248535,2.253561019897461,-0.5311245918273926,0,1.1066899299621582,0.75,0.05337332561612129
-0.04570277602809266,0.030222883860336173,0.0362027715976235,0.09492881059709977,0.0,0.15045085966866859,-0.000443291908595711,-2.922389507293701,-0.019031353294849396,-0.057746630162000656,6.606448005186394e-05,3.03163480758667,0.10522788017988205,3.390913963317871,-0.7499026956647867,contact_preserving_entropy_annealed,0.08,10,M7e,1,0.6,0.25,0.0,0.7857500910758972,0,2.253561019897461,1.6643362045288086,-0.5892248153686523,1,1.3194979429244995,0.5,-0.000443291908595711
0.02774713428534261,-0.030126098485152696,0.031024984550445115,-0.03882269006936427,0.0,0.1240783928033136,0.0005684616044163704,-1.3177094459533691,0.03888639062643051,-0.013645483180880547,0.00036639385507442057,3.5043039321899414,0.08663156628608704,3.3141708374023438,-0.3229750192258507,contact_preserving_entropy_annealed,0.08,10,M7e,1,0.6,0.25,0.5,0.36533790826797485,0,1.6643362045288086,0.5862376689910889,-1.0780985355377197,2,2.068530559539795,0.25,0.03888639062643051
-0.03058132189602512,-0.011230755153382546,0.04887329987230166,-0.015333012712251567,0.0,0.21768897981714955,0.0027574938721954823,-14.563606262207031,-0.06568820029497147,0.049108341336250305,0.006739187519997358,3.7453250885009766,0.11875367164611816,3.3163044452667236,-3.6443571568233892,naive_weighted,0.02,8,M3,1,0.0,1.0,0.5,1.528856873512268,1,2.693592071533203,2.0017614364624023,-0.6918306350708008,0,1.528856873512268,1.0,0.049108341336250305
-0.013739534434858952,0.07261339990807544,0.015284282042235585,0.01502083500750592,0.0,0.18373743391646924,-0.005294034723192453,-10.605947494506836,0.016506152227520943,-0.02612287923693657,0.009778755716979504,2.470198631286621,0.058344729244709015,3.327754497528076,-2.655214564059861,naive_weighted,0.02,8,M3,1,0.0,1.0,0.25,1.4129825830459595,1,2.0017614364624023,1.942718744277954,-0.05904269218444824,1,1.4129825830459595,1.0,0.016506152227520943
-0.0411940905946237,-0.02509085312435603,-0.05949090051837979,-0.01019502010904927,0.0,0.20204217047806455,0.0005208436632528901,-0.42939990758895874,-0.021639447659254074,-0.08446837961673737,0.00520124239847064,2.1458261013031006,0.07582427561283112,3.304237127304077,-0.13374672280042432,naive_weighted,0.02,8,M3,1,0.0,1.0,0.25,0.3595558702945709,1,1.942718744277954,2.040299892425537,0.09758114814758301,2,0.3595558702945709,1.0,0.0005208436632528901
-0.03058132189602512,-0.011230755153382546,0.04887329987230166,-0.015333012712251567,0.0,0.21768897981714955,-0.015833096578717232,-2.7861666679382324,-0.12201940268278122,-0.14873869717121124,0.006739187519997358,3.7453250885009766,0.11875367164611816,3.3163044452667236,-0.7681894660927355,contact_preserving_soft_cone,0.08,10,M7c,1,0.6,1.0,0.0,0.48573556542396545,1,2.693592071533203,2.559093475341797,-0.13449859619140625,0,0.48573556542396545,1.0,-0.015833096578717232
0.08757896726535133,0.09513124850331954,-0.14977720443093803,-0.04904004009027421,0.0,0.1903872950278707,-0.0011657534632831812,-0.866510272026062,0.009700211696326733,-0.042162928730249405,0.00020568951731547713,3.283203125,0.022785264998674393,3.162327289581299,-0.22503468563081697,contact_preserving_soft_cone,0.08,10,M7c,1,0.6,1.0,0.25,0.4498685300350189,1,2.559093475341797,2.4540419578552246,-0.10505151748657227,1,0.4498685300350189,1.0,0.009700211696326733
-0.06755873265867247,-0.02687020382938758,0.018687841938121504,0.10004422565229315,0.0,0.2053496811462472,-0.0044685183092951775,-0.8756777048110962,-0.040494855493307114,-0.08780914545059204,0.0006916744168847799,2.689060926437378,0.034062709659338,3.1216115951538086,-0.25211255601607263,contact_preserving_soft_cone,0.08,10,M7c,1,0.6,1.0,0.0,0.3977624177932739,1,2.4540419578552246,2.3453526496887207,-0.1086893081665039,2,0.3977624177932739,1.0,-0.0044685183092951775
-0.03058132189602512,-0.011230755153382546,0.04887329987230166,-0.015333012712251567,0.0,0.21768897981714955,-0.01608334854245186,-2.854292869567871,-0.12112987041473389,-0.15802542865276337,0.006739187519997358,3.7453250885009766,0.11875367164611816,3.3163044452667236,-0.787382879294455,contact_preserving_entropy_annealed,0.08,10,M7d,1,0.6,0.5,0.0,0.48573556542396545,1,2.693592071533203,2.445150375366211,-0.2484416961669922,0,0.5582094192504883,0.8333333333333334,-0.01608334854245186
0.08548107362912805,0.020892352618473418,-0.07049552035318639,-0.003263724094184633,0.0,0.1899156077682549,-0.004175462294369936,-2.867486000061035,-0.02061278000473976,-0.1263464093208313,0.0002517320972401649,3.1441006660461426,0.02318555861711502,3.1506223678588867,-0.754655162920244,contact_preserving_entropy_annealed,0.08,10,M7d,1,0.6,0.5,0.0,0.4183482229709625,1,2.445150375366211,2.0240530967712402,-0.4210972785949707,1,0.8603227138519287,0.6666666666666667,-0.004175462294369936
-0.02909683388250173,0.04566732244544523,-0.13942740217287997,-0.03636724140500521,0.0,0.19247206747144174,-0.008562804199755192,-0.34272581338882446,0.00302328635007143,-0.0795510932803154,0.013390791602432728,2.5315089225769043,0.00874624215066433,3.025156021118164,-0.1069541061297059,contact_preserving_entropy_annealed,0.08,10,M7d,1,0.6,0.5,0.25,0.3437558114528656,1,2.0240530967712402,1.2826008796691895,-0.7414522171020508,2,1.3035285472869873,0.5,0.00302328635007143
-0.03058132189602512,-0.011230755153382546,0.04887329987230166,-0.015333012712251567,0.0,0.21768897981714955,-0.015988077968358994,-2.8741352558135986,-0.11921028047800064,-0.16303755342960358,0.006739187519997358,3.7453250885009766,0.11875367164611816,3.3163044452667236,-0.7930927919223905,contact_preserving_entropy_annealed,0.08,10,M7e,1,0.6,0.25,0.0,0.48573556542396545,1,2.693592071533203,2.364461660385132,-0.3291304111480713,0,0.6549333333969116,0.75,-0.015988077968358994
0.08318404328881113,0.016341209974013043,-0.05944496111523516,-0.007249208259599188,0.0,0.18985316907297803,-0.004439215641468763,-2.7339649200439453,-0.0059407842345535755,-0.12588900327682495,0.00023365594097413123,3.0592355728149414,0.024067271500825882,3.1438710689544678,-0.7175584807991982,contact_preserving_entropy_annealed,0.08,10,M7e,1,0.6,0.25,0.0,0.4115627408027649,1,2.364461660385132,1.588193416595459,-0.7762682437896729,1,1.4161045551300049,0.5,-0.004439215641468763
-0.01350331934829879,0.04237558608264367,-0.04197524545041991,-0.017614551255002855,0.0,0.19824696756835658,0.00837563257664442,0.5240960717201233,0.015695074573159218,-0.011028936132788658,0.01687954179942608,2.6785218715667725,0.01865883730351925,3.0221641063690186,0.13428446068428457,contact_preserving_entropy_annealed,0.08,10,M7e,1,0.6,0.25,0.75,0.3101069927215576,1,1.588193416595459,0.4656301438808441,-1.1225632727146149,2,1.9684504270553589,0.25,0.5240960717201233
